Fit quality and calculated crystallographic parameters for each pattern in the diffraction map of sample 1.,,,,,
,,,,,
variable,R^2,CLAA,s121,a,c
units,[a.u],[a.u.],[\AA],[\AA],[\AA]
pattern_ID,,,,,
380,0.999800543,4.966400367,403.7381514,9.453000786,6.890369255
381,0.999646254,5.050683655,403.2629444,9.453432928,6.891689506
382,0.999763771,5.233822022,378.4390476,9.453074056,6.891848796
383,0.999721566,4.875366383,396.2048225,9.453326146,6.887427647
384,0.999729967,5.28419207,424.3242175,9.452990204,6.888786853
385,0.999671905,5.195391994,385.8847232,9.453037475,6.881614168
386,0.999700701,5.088967253,408.1543919,9.454177715,6.875536941
387,0.999742,5.269881258,409.1396425,9.454503462,6.870549337
388,0.99968607,5.397088746,409.809138,9.453777487,6.870729349
389,0.999612506,4.139606925,411.9373549,9.454552098,6.863356005
390,0.999701616,2.736385756,432.9456916,9.454644159,6.862708858
391,0.999686911,3.278909152,480.3109349,9.452787044,6.880499863
392,0.999613374,3.316486722,449.6211128,9.451575021,6.88195571
393,0.999718095,3.101246177,441.4117298,9.451647578,6.891492195
394,0.99982402,4.607784829,395.5442325,9.450451743,6.89743712
395,0.999743262,4.905079205,415.1206375,9.450653224,6.902071084
396,0.999771121,2.424868298,432.7738724,9.452515636,6.889874379
397,0.999764408,2.982910935,421.4838015,9.452365035,6.889678209
398,0.999696163,2.428677919,443.402577,9.452434851,6.8958518
399,0.999644043,1.113176637,480.4874842,9.455626683,6.880750281
400,0.999647345,2.052411701,446.0156676,9.455127247,6.873271973
401,0.999748498,3.791721325,452.8366633,9.45456416,6.88327511
402,0.99972284,4.885326579,444.1125562,9.452807839,6.88892269
403,0.999714277,5.371874932,411.0082058,9.451769144,6.900426039
404,0.999639906,4.44204074,423.456654,9.452662666,6.898624084
405,0.999741466,5.193107929,412.4168694,9.452194933,6.901023988
406,0.999538899,4.088170182,413.468855,9.451956997,6.899699189
407,0.999723137,4.394691006,391.9112334,9.455007578,6.885577552
408,0.999681171,3.04943727,444.9748858,9.45359354,6.887822021
409,0.99954329,1.945522692,487.0483677,9.453681362,6.891275528
410,0.999695768,3.333080924,465.6294292,9.454056657,6.877665848
411,0.999652216,3.989012145,450.2861334,9.452526743,6.896686723
412,0.999744593,5.11730521,443.9953368,9.453027607,6.899456494
413,0.999604524,4.800462743,387.0616624,9.452105005,6.900741239
414,0.999536101,5.400252577,383.4177384,9.45338312,6.896747571
415,0.999577217,5.02867868,401.9324963,9.454087628,6.8905579
416,0.999697333,4.937243975,386.3387412,9.454849139,6.884328484
